StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Instruction,Q8,Q7,Q9_NPS_GROUP,Q9,Q10_NPS_GROUP,Q10,Q11_NPS_GROUP,Q11,Q12_NPS_GROUP,Q12,Q44_NPS_GROUP,Q44,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q39_6,Q39_7,Q39_8,Q39_9,Q39_10,Q39_11,Q39_12,Q39_13,Q39_14,Q39_15,Q39_16,Q39_17,Q39_18,Q39_19,Q39_20,Q39_21,Q39_22,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q46_8,Q46_9,Q46_10,Q46_11,Q46_12,Q46_13,Q46_14,Q46_15,Q46_16,Q46,Q37,Q40
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Study Title: Understanding the Issue Selection Process to Contribute to Open Source Software.

 

Researchers: Marco A. Gerosa, PhD (Northern Arizona University), Igor Steinmacher, PhD (Northern Arizona University),  Igor Wiese, PhD (UTFPR), Fabio Santos, MSc. 

 



Purpose: Thank you for participating in the survey. The purpose of this research study is to evaluate the process of onboarding newcomers to a project and to understand how to make onboarding easier for the newcomers to a project. Parts of the results of the study will be used to help a student researchers’ thesis or dissertation completion. This study is funded by the National Science Foundation.

Please fill out the short survey which may take about 5 minutes

Confidentiality: 

The security and confidentiality of information collected from you online cannot be guaranteed. Confidentiality will be kept to the extent permitted by the technology being used. Information collected online can be intercepted, corrupted, lost, destroyed, arrive late or incomplete or contain viruses. 

Voluntary: Participation in this study is voluntary. You are free to decide not to participate or to withdraw at any time. You can skip questions you prefer not to answer. 

Study contacts: If you have any questions about this research project, please contact: ‘anita.sarma@oregonstate.edu'. If you have questions about your rights or welfare as a participant, please contact the Oregon State University Institutional Review Board (IRB) Office, at (541) 737-8008 or by email at IRB@oregonstate.edu. 



For questions, concerns, or complaints about the study, you may contact,  Fabio Santos . 

 

 Please, confirm that you agree to take part in this survey.",How many years of programming experience do you have? (without considering your academic experience),How many contributions to Open Source have you made so far?,How do you classify your skill level in Java? - Group,How do you classify your skill level in Java?,How do you classify your skill level in PostgreSQL? - Group,How do you classify your skill level in PostgreSQL?,How do you classify your skill level in Gradle? - Group,How do you classify your skill level in Gradle?,How do you classify your skill level in JavaFX? - Group,How do you classify your skill level in JavaFX?,What is your English proficiency? - Group,What is your English proficiency?,"Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 5679 - Throttle autosave actions","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 5653 - Import option ""Copy, Rename, Link"" behaviour in v5-dev","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 4430 - Performance issues in development version 5.0","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 5532 - NPE when using middle mouse click on windows (clipboard)s","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 5485 - Crossref API parameter query.title deprecated","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 5022 - group view update missing when scrolling","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 5254 - The context menu for entries is gone","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 4612 - General fields layout: url and doi missing","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 5194 - Latex citations search - Missing citations","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 4629 - Improve telemetry collection","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 4816 - possible problem with RIS publication year","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 4977 - Different font weights changing entry type","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 5022 - LaTeX integration","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 4913 - Downloads from the arXiv are marked as HTML files instead of PDF","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 4864 - AuthorList parse adds extra space if author middlename is abbrevatied without dot","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 4306 - Disable rename when file has already right name","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 4360 - 5-dev GUI: transposed ""new entry"" and ""new article""","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 4233 - Nullpointerexception while merging entries","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 3994 - Copy to clipboard","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 628 - Feature: Hierarchical Keywords","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 2319 - Groups Interface: Collapse subtree does not work","Which issues did you choose to contribute? Select the three (3) more relevant issues in preference order by writing 1, 2 and 3 in text boxes. (if necessary check your notes or the issues page) - 2370 - Relevance and read status cells: double-click behavior inverted","The image below shows an issue example. Considering the issues you selected to contribute before, what following information were relevant to your decision? (pick all regions from the picture below that apply) - title","The image below shows an issue example. Considering the issues you selected to contribute before, what following information were relevant to your decision? (pick all regions from the picture below that apply) - author","The image below shows an issue example. Considering the issues you selected to contribute before, what following information were relevant to your decision? (pick all regions from the picture below that apply) - Body","The image below shows an issue example. Considering the issues you selected to contribute before, what following information were relevant to your decision? (pick all regions from the picture below that apply) - Tags or Labels","The image below shows an issue example. Considering the issues you selected to contribute before, what following information were relevant to your decision? (pick all regions from the picture below that apply) - Code snippet","The image below shows an issue example. Considering the issues you selected to contribute before, what following information were relevant to your decision? (pick all regions from the picture below that apply) - Comments","The image below shows an issue example. Considering the issues you selected to contribute before, what following information were relevant to your decision? (pick all regions from the picture below that apply) - Participants","The image below shows an issue example. Considering the issues you selected to contribute before, what following information were relevant to your decision? (pick all regions from the picture below that apply) - New Tag or Label #2","The image below shows an issue example. Considering the issues you selected to contribute before, what following information were relevant to your decision? (pick all regions from the picture below that apply) - New Tag or Label #1","The image below shows an issue example. Considering the issues you selected to contribute before, what following information were relevant to your decision? (pick all regions from the picture below that apply) - Linked issue/PR",Which tags or labels were relevant to decide the issue to contribute? Select all that apply. - 1,Which tags or labels were relevant to decide the issue to contribute? Select all that apply. - 10,Which tags or labels were relevant to decide the issue to contribute? Select all that apply. - 11,Which tags or labels were relevant to decide the issue to contribute? Select all that apply. - 12,Which tags or labels were relevant to decide the issue to contribute? Select all that apply. - 13,Which tags or labels were relevant to decide the issue to contribute? Select all that apply. - 14,Which tags or labels were relevant to decide the issue to contribute? Select all that apply. - 15,Which tags or labels were relevant to decide the issue to contribute? Select all that apply. - 16,Which tags or labels were relevant to decide the issue to contribute? Select all that apply. - 17,Which tags or labels were relevant to decide the issue to contribute? Select all that apply. - 18,Which tags or labels were relevant to decide the issue to contribute? Select all that apply. - 19,Which tags or labels were relevant to decide the issue to contribute? Select all that apply. - 20,Which tags or labels were relevant to decide the issue to contribute? Select all that apply. - 21,Which tags or labels were relevant to decide the issue to contribute? Select all that apply. - 22,Which tags or labels were relevant to decide the issue to contribute? Select all that apply. - 23,Which tags or labels were relevant to decide the issue to contribute? Select all that apply. - 24,What else would you like to see in the issue list to help you decide which one to pick?,What kind of label do you want to see in the issues?,Do you want to share any other comments?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID8""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9_NPS_GROUP""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_NPS_GROUP""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_NPS_GROUP""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_NPS_GROUP""}","{""ImportId"":""QID12""}","{""ImportId"":""QID44_NPS_GROUP""}","{""ImportId"":""QID44""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID39_3""}","{""ImportId"":""QID39_4""}","{""ImportId"":""QID39_5""}","{""ImportId"":""QID39_6""}","{""ImportId"":""QID39_7""}","{""ImportId"":""QID39_8""}","{""ImportId"":""QID39_9""}","{""ImportId"":""QID39_10""}","{""ImportId"":""QID39_11""}","{""ImportId"":""QID39_12""}","{""ImportId"":""QID39_13""}","{""ImportId"":""QID39_14""}","{""ImportId"":""QID39_15""}","{""ImportId"":""QID39_16""}","{""ImportId"":""QID39_17""}","{""ImportId"":""QID39_18""}","{""ImportId"":""QID39_19""}","{""ImportId"":""QID39_20""}","{""ImportId"":""QID39_21""}","{""ImportId"":""QID39_22""}","{""ImportId"":""QID15_8""}","{""ImportId"":""QID15_9""}","{""ImportId"":""QID15_10""}","{""ImportId"":""QID15_11""}","{""ImportId"":""QID15_12""}","{""ImportId"":""QID15_13""}","{""ImportId"":""QID15_14""}","{""ImportId"":""QID15_15""}","{""ImportId"":""QID15_16""}","{""ImportId"":""QID15_17""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_10""}","{""ImportId"":""QID45_11""}","{""ImportId"":""QID45_12""}","{""ImportId"":""QID45_13""}","{""ImportId"":""QID45_14""}","{""ImportId"":""QID45_15""}","{""ImportId"":""QID45_16""}","{""ImportId"":""QID45_17""}","{""ImportId"":""QID45_18""}","{""ImportId"":""QID45_19""}","{""ImportId"":""QID45_20""}","{""ImportId"":""QID45_21""}","{""ImportId"":""QID45_22""}","{""ImportId"":""QID45_23""}","{""ImportId"":""QID45_24""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID40_TEXT""}"
10/23/20 12:16,10/23/20 12:21,IP Address,191.163.205.184,100,315,TRUE,10/23/20 12:21,R_2qf9scZ4DWtb2Sr,,,,,-22.92010498,-43.33070374,anonymous,EN,Agree,4,Zero,Detractor,6,Promoter,9,Detractor,0,Detractor,0,Passive,7,,,,,,,,,,,,3,,1,,,,,,2,,,On,Off,Off,On,Off,On,Off,Off,Off,Off,relevant,not relevant,relevant,not relevant,relevant,relevant,not relevant,not relevant,not relevant,not relevant,relevant,relevant,relevant,not relevant,relevant,not relevant,the used prog language,the programming language ,
10/23/20 12:17,10/23/20 12:23,IP Address,179.235.188.104,100,342,TRUE,10/23/20 12:23,R_2PiEyz9vNIocWh3,,,,,-9.571304321,-35.68989563,anonymous,EN,Agree,Zero,Zero,Detractor,0,Detractor,0,Detractor,0,Detractor,0,Passive,8,,,,,,,,,,,,,,,,1,,,3,,2,,On,Off,On,On,Off,On,Off,Off,Off,Off,relevant,relevant,not relevant,not relevant,relevant,not relevant,not relevant,not relevant,relevant,not relevant,not relevant,relevant,not relevant,not relevant,not relevant,relevant,-,-,No.
10/23/20 12:15,10/23/20 12:28,IP Address,177.235.243.207,100,786,TRUE,10/23/20 12:28,R_RwXsmFqhD83uaUV,,,,,-15.77920532,-47.93409729,anonymous,EN,Agree,Zero,Zero,Detractor,0,Detractor,0,Detractor,0,Detractor,0,Passive,7,1,,,,,2,,,,,,,,,,,,,,,,3,On,On,On,Off,Off,On,Off,Off,Off,Off,not relevant,not relevant,relevant,relevant,relevant,relevant,relevant,not relevant,not relevant,not relevant,relevant,relevant,relevant,not relevant,not relevant,not relevant,critical,critical,
10/23/20 12:21,10/23/20 12:33,IP Address,179.242.14.80,100,687,TRUE,10/23/20 12:33,R_2ZK7cvn759ZEedk,,,,,-22.92010498,-43.33070374,anonymous,EN,Agree,Zero,Zero,Detractor,0,Detractor,0,Detractor,0,Detractor,0,Detractor,5,,,1,,,,,,,,,,,,,3,,,,2,,,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,not relevant,relevant,relevant,not relevant,relevant,relevant,not relevant,not relevant,not relevant,relevant,relevant,not relevant,not relevant,not relevant,relevant,relevant,Nothing.,None.,No
10/23/20 12:28,10/23/20 12:33,IP Address,186.221.78.220,100,337,TRUE,10/23/20 12:33,R_2D2H96luS9rKAK4,,,,,-22.92010498,-43.33070374,anonymous,EN,Agree,Zero,Zero,Detractor,0,Detractor,0,Detractor,0,Detractor,0,Passive,8,,,2,,,,1,,,,,,,3,,,,,,,,,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,not relevant,not relevant,not relevant,not relevant,not relevant,relevant,relevant,not relevant,relevant,relevant,not relevant,not relevant,not relevant,not relevant,relevant,relevant,Não tenho como contribuir,Não tenho como contribuir,No
10/23/20 12:27,10/23/20 12:34,IP Address,177.155.67.232,100,385,TRUE,10/23/20 12:34,R_Q4fhgRzVqcPRrVL,,,,,-29.72889709,-51.81750488,anonymous,EN,Agree,Zero,Zero,Detractor,0,Detractor,0,Detractor,0,Detractor,0,Passive,7,,,,,,,,,,,3,,2,,,,,,,1,,,Off,Off,On,Off,On,Off,Off,Off,Off,Off,not relevant,relevant,relevant,not relevant,relevant,relevant,not relevant,not relevant,not relevant,not relevant,relevant,not relevant,relevant,not relevant,relevant,relevant,group,type: code,no
10/23/20 12:28,10/23/20 12:38,IP Address,139.82.8.83,100,593,TRUE,10/23/20 12:38,R_T5xtOKKgHnBiF0J,,,,,-22.92010498,-43.33070374,anonymous,EN,Agree,Zero,Zero,Detractor,0,Detractor,0,Detractor,0,Detractor,0,Passive,8,,,,,,,,,3,,,,2,,,1,,,,,,,On,Off,Off,Off,Off,On,Off,Off,Off,Off,not relevant,relevant,relevant,relevant,relevant,relevant,relevant,not relevant,relevant,not relevant,not relevant,relevant,not relevant,not relevant,relevant,relevant,Resume of the issue.,I don't know how to contribute here.,
10/23/20 12:32,10/23/20 12:38,IP Address,189.60.142.13,100,395,TRUE,10/23/20 12:38,R_2TCabEJpBnw14QX,,,,,-22.92010498,-43.33070374,anonymous,EN,Agree,10+,Zero,Detractor,0,Detractor,0,Detractor,0,Detractor,0,Promoter,10,,,,,,,2,,,,,,,,,,,,1,,3,,Off,Off,On,Off,Off,On,Off,Off,On,Off,not relevant,relevant,not relevant,not relevant,relevant,not relevant,not relevant,not relevant,relevant,not relevant,not relevant,not relevant,not relevant,not relevant,relevant,not relevant,Quantidade de views do erro,Impacto na operação,
