"label","y","x"
"API",1,"a"
"API",7,"a"
"API",2,"a"
"API",8,"a"
"API",7,"a"
"API",7,"a"
"API",8,"a"
"API",6,"a"
"API",5,"a"
"API",8,"a"
"API",8,"a"
"API",4,"a"
"API",5,"a"
"API",3,"a"
"API",8,"a"
"API",4,"a"
"API",5,"a"
"API",5,"a"
"API",4,"a"
"API",4,"a"
"API",8,"a"
"API",8,"a"
"API",1,"a"
"API",0,"a"
"API",2,"a"
"API",3,"a"
"API",2,"a"
"API",3,"a"
"API",1,"a"
"API",5,"a"
"API",5,"a"
"API",6,"a"
"API",4,"a"
"API",7,"a"
"API",0,"a"
"API",5,"a"
"API",0,"a"
"API",7,"a"
"API",7,"a"
"API",4,"a"
"API",8,"a"
"Type",4,"a"
"Type",5,"a"
"Type",2,"a"
"Type",4,"a"
"Type",1,"a"
"Type",7,"a"
"Type",5,"a"
"Type",5,"a"
"Type",4,"a"
"Type",7,"a"
"Type",3,"a"
"Type",2,"a"
"Type",5,"a"
"Type",4,"a"
"Type",7,"a"
"Type",5,"a"
"Type",7,"a"
"Type",6,"a"
"Type",5,"a"
"Type",5,"a"
"Type",5,"a"
"Type",6,"a"
"Type",3,"a"
"Type",1,"a"
"Type",3,"a"
"Type",1,"a"
"Type",3,"a"
"Type",7,"a"
"Type",1,"a"
"Type",5,"a"
"Type",6,"a"
"Type",5,"a"
"Type",4,"a"
"Type",3,"a"
"Type",0,"a"
"Type",5,"a"
"Type",1,"a"
"Type",4,"a"
"Type",3,"a"
"Type",3,"a"
"Type",6,"a"
"Comp",0,"a"
"Comp",1,"a"
"Comp",0,"a"
"Comp",4,"a"
"Comp",0,"a"
"Comp",5,"a"
"Comp",2,"a"
"Comp",2,"a"
"Comp",1,"a"
"Comp",4,"a"
"Comp",0,"a"
"Comp",0,"a"
"Comp",6,"a"
"Comp",1,"a"
"Comp",8,"a"
"Comp",3,"a"
"Comp",2,"a"
"Comp",5,"a"
"Comp",3,"a"
"Comp",0,"a"
"Comp",5,"a"
"Comp",0,"a"
"Comp",0,"a"
"Comp",0,"a"
"Comp",2,"a"
"Comp",0,"a"
"Comp",4,"a"
"Comp",3,"a"
"Comp",3,"a"
"Comp",5,"a"
"Comp",4,"a"
"Comp",3,"a"
"Comp",1,"a"
"Comp",7,"a"
"Comp",0,"a"
"Comp",5,"a"
"Comp",0,"a"
"Comp",1,"a"
"Comp",3,"a"
"Comp",0,"a"
"Comp",1,"a"
